filename,size,rseries
07180809_0248_F0003,176.454MiB,R68
07180809_0248_F0004,180.458MiB,R68
07180809_0248_F0005,184.745MiB,R68
07180809_0248_F0006,180.140MiB,R68
07180809_0248_F0007,180.852MiB,R68
07180809_0248_F0008,181.708MiB,R68
07180809_0248_F0009,177.568MiB,R68
07180809_0248_F0010,145.313MiB,R68
07180809_0258_F0001,54.929MiB,R68
07180809_0258_F0002,183.505MiB,R68
07180809_0258_F0003,180.291MiB,R68
07180809_0258_F0004,185.133MiB,R68
07180809_0258_F0005,174.235MiB,R68
07180809_0258_F0006,182.360MiB,R68
07180809_0258_F0007,176.681MiB,R68
07180809_0258_F0008,181.561MiB,R68
07180809_0258_F0009,181.382MiB,R68
07180809_0258_F0010,148.593MiB,R68
07180809_0308_F0001,51.734MiB,R68
07180809_0308_F0002,182.399MiB,R68
07180809_0308_F0003,178.354MiB,R68
07180809_0308_F0004,184.761MiB,R68
07180809_0308_F0005,181.928MiB,R68
07180809_0308_F0006,184.039MiB,R68
07180809_0308_F0007,184.448MiB,R68
07180809_0308_F0008,178.405MiB,R68
07180809_0308_F0009,184.066MiB,R68
07180809_0308_F0010,140.966MiB,R68
07180809_0357_F0001,49.158MiB,R68
07180809_0357_F0002,151.694MiB,R68
07180809_0357_F0003,152.218MiB,R68
07180809_0357_F0004,155.418MiB,R68
07180809_0357_F0005,151.661MiB,R68
07180809_0357_F0006,151.735MiB,R68
07180809_0357_F0007,155.137MiB,R68
07180809_0357_F0008,154.600MiB,R68
07180809_0357_F0009,164.390MiB,R68
07180809_0357_F0010,134.067MiB,R68
07180809_0407_F0001,49.713MiB,R68
07180809_0407_F0002,161.932MiB,R68
07180809_0407_F0003,159.875MiB,R68
07180809_0407_F0004,159.428MiB,R68
07180809_0407_F0005,165.718MiB,R68
07180809_0407_F0006,157.523MiB,R68
07180809_0407_F0007,162.792MiB,R68
07180809_0407_F0008,166.123MiB,R68
07180809_0407_F0009,166.030MiB,R68
07180809_0407_F0010,138.806MiB,R68
07180809_0418_F0001,51.528MiB,R68
07180809_0418_F0002,169.950MiB,R68
07180809_0418_F0003,170.341MiB,R68
07180809_0418_F0004,167.237MiB,R68
07180809_0418_F0005,170.563MiB,R68
07180809_0418_F0006,175.156MiB,R68
07180809_0418_F0007,172.723MiB,R68
07180809_0418_F0008,174.457MiB,R68
07180809_0418_F0009,175.492MiB,R68
